"","mitigation_decision","rate_structure","fee_passthrough","variable","value","income","time","measure"
"1","baseline","fixed","zero_threshold","li_total_before",888.72,"low","before","total"
"2","baseline","one_tier","zero_threshold","li_total_before",530.144475170329,"low","before","total"
"3","baseline","ibp","zero_threshold","li_total_before",516.126318180663,"low","before","total"
"4","baseline","dpb","zero_threshold","li_total_before",544.162632159995,"low","before","total"
"5","baseline","fixed","one_tier","li_total_before",888.72,"low","before","total"
"6","baseline","one_tier","one_tier","li_total_before",530.144475170329,"low","before","total"
"7","baseline","ibp","one_tier","li_total_before",516.126318180663,"low","before","total"
"8","baseline","dpb","one_tier","li_total_before",544.162632159995,"low","before","total"
"9","baseline","fixed","multi_tier","li_total_before",888.72,"low","before","total"
"10","baseline","one_tier","multi_tier","li_total_before",530.144475170329,"low","before","total"
"11","baseline","ibp","multi_tier","li_total_before",516.126318180663,"low","before","total"
"12","baseline","dpb","multi_tier","li_total_before",544.162632159995,"low","before","total"
"13","baseline","fixed","zero_threshold","li_total_after",888.72,"low","after","total"
"14","baseline","one_tier","zero_threshold","li_total_after",782.768657638816,"low","after","total"
"15","baseline","ibp","zero_threshold","li_total_after",872.879712578706,"low","after","total"
"16","baseline","dpb","zero_threshold","li_total_after",691.308494372587,"low","after","total"
"17","baseline","fixed","one_tier","li_total_after",888.72,"low","after","total"
"18","baseline","one_tier","one_tier","li_total_after",578.885439209448,"low","after","total"
"19","baseline","ibp","one_tier","li_total_after",653.610455717476,"low","after","total"
"20","baseline","dpb","one_tier","li_total_after",559.152011234604,"low","after","total"
"21","baseline","fixed","multi_tier","li_total_after",888.72,"low","after","total"
"22","baseline","one_tier","multi_tier","li_total_after",578.885439209448,"low","after","total"
"23","baseline","ibp","multi_tier","li_total_after",613.33616431834,"low","after","total"
"24","baseline","dpb","multi_tier","li_total_after",544.162632159995,"low","after","total"
"25","baseline","fixed","zero_threshold","hi_total_before",888.72,"high","before","total"
"26","baseline","one_tier","zero_threshold","hi_total_before",1949.88757483679,"high","before","total"
"27","baseline","ibp","zero_threshold","hi_total_before",2260.9775948257,"high","before","total"
"28","baseline","dpb","zero_threshold","hi_total_before",1634.68025219233,"high","before","total"
"29","baseline","fixed","one_tier","hi_total_before",888.72,"high","before","total"
"30","baseline","one_tier","one_tier","hi_total_before",1949.88757483679,"high","before","total"
"31","baseline","ibp","one_tier","hi_total_before",2260.9775948257,"high","before","total"
"32","baseline","dpb","one_tier","hi_total_before",1634.68025219233,"high","before","total"
"33","baseline","fixed","multi_tier","hi_total_before",888.72,"high","before","total"
"34","baseline","one_tier","multi_tier","hi_total_before",1949.88757483679,"high","before","total"
"35","baseline","ibp","multi_tier","hi_total_before",2260.9775948257,"high","before","total"
"36","baseline","dpb","multi_tier","hi_total_before",1634.68025219233,"high","before","total"
"37","baseline","fixed","zero_threshold","hi_total_after",888.72,"high","after","total"
"38","baseline","one_tier","zero_threshold","hi_total_after",1704.86280843402,"high","after","total"
"39","baseline","ibp","zero_threshold","hi_total_after",1841.66460159753,"high","after","total"
"40","baseline","dpb","zero_threshold","hi_total_after",1566.31474681634,"high","after","total"
"41","baseline","fixed","one_tier","hi_total_after",888.72,"high","after","total"
"42","baseline","one_tier","one_tier","hi_total_after",1901.20680338895,"high","after","total"
"43","baseline","ibp","one_tier","hi_total_after",1980.84984148615,"high","after","total"
"44","baseline","dpb","one_tier","hi_total_after",1650.44448517411,"high","after","total"
"45","baseline","fixed","multi_tier","hi_total_after",888.72,"high","after","total"
"46","baseline","one_tier","multi_tier","hi_total_after",1901.20680338895,"high","after","total"
"47","baseline","ibp","multi_tier","hi_total_after",2100.25293127768,"high","after","total"
"48","baseline","dpb","multi_tier","hi_total_after",1634.68025219233,"high","after","total"
"49","baseline","fixed","zero_threshold","li_perc_before",0.0600944,"low","before","perc"
"50","baseline","one_tier","zero_threshold","li_perc_before",6376409.21835593,"low","before","perc"
"51","baseline","ibp","zero_threshold","li_perc_before",8014921.6820324,"low","before","perc"
"52","baseline","dpb","zero_threshold","li_perc_before",4715559.20124336,"low","before","perc"
"53","baseline","fixed","one_tier","li_perc_before",0.0600944,"low","before","perc"
"54","baseline","one_tier","one_tier","li_perc_before",6376409.21835593,"low","before","perc"
"55","baseline","ibp","one_tier","li_perc_before",8014921.6820324,"low","before","perc"
"56","baseline","dpb","one_tier","li_perc_before",4715559.20124335,"low","before","perc"
"57","baseline","fixed","multi_tier","li_perc_before",0.0600944,"low","before","perc"
"58","baseline","one_tier","multi_tier","li_perc_before",6376409.21835593,"low","before","perc"
"59","baseline","ibp","multi_tier","li_perc_before",8014921.6820324,"low","before","perc"
"60","baseline","dpb","multi_tier","li_perc_before",4715559.20124335,"low","before","perc"
"61","baseline","fixed","zero_threshold","li_perc_after",0.0801258666666667,"low","after","perc"
"62","baseline","one_tier","zero_threshold","li_perc_after",0.0697479541291632,"low","after","perc"
"63","baseline","ibp","zero_threshold","li_perc_after",0.0779015458534895,"low","after","perc"
"64","baseline","dpb","zero_threshold","li_perc_after",0.0614727285112878,"low","after","perc"
"65","baseline","fixed","one_tier","li_perc_after",0.0801258666666667,"low","after","perc"
"66","baseline","one_tier","one_tier","li_perc_after",0.0510078119832042,"low","after","perc"
"67","baseline","ibp","one_tier","li_perc_after",0.0575775342161988,"low","after","perc"
"68","baseline","dpb","one_tier","li_perc_after",0.0492222219731568,"low","after","perc"
"69","baseline","fixed","multi_tier","li_perc_after",0.0801258666666667,"low","after","perc"
"70","baseline","one_tier","multi_tier","li_perc_after",0.0510078119832042,"low","after","perc"
"71","baseline","ibp","multi_tier","li_perc_after",0.0540760363952529,"low","after","perc"
"72","baseline","dpb","multi_tier","li_perc_after",0.0477449312920595,"low","after","perc"
"73","baseline","fixed","zero_threshold","hi_perc_before",0.00503223272727273,"high","before","perc"
"74","baseline","one_tier","zero_threshold","hi_perc_before",0.0106134200553388,"high","before","perc"
"75","baseline","ibp","zero_threshold","hi_perc_before",0.0121543358828874,"high","before","perc"
"76","baseline","dpb","zero_threshold","hi_perc_before",0.00905260190587398,"high","before","perc"
"77","baseline","fixed","one_tier","hi_perc_before",0.00503223272727273,"high","before","perc"
"78","baseline","one_tier","one_tier","hi_perc_before",0.0106134200553388,"high","before","perc"
"79","baseline","ibp","one_tier","hi_perc_before",0.0121543358828874,"high","before","perc"
"80","baseline","dpb","one_tier","hi_perc_before",0.00905260190587398,"high","before","perc"
"81","baseline","fixed","multi_tier","hi_perc_before",0.00503223272727273,"high","before","perc"
"82","baseline","one_tier","multi_tier","hi_perc_before",0.0106134200553388,"high","before","perc"
"83","baseline","ibp","multi_tier","hi_perc_before",0.0121543358828874,"high","before","perc"
"84","baseline","dpb","multi_tier","hi_perc_before",0.00905260190587398,"high","before","perc"
"85","baseline","fixed","zero_threshold","hi_perc_after",0.00503223272727273,"high","after","perc"
"86","baseline","one_tier","zero_threshold","hi_perc_after",0.00937585520214704,"high","after","perc"
"87","baseline","ibp","zero_threshold","hi_perc_after",0.0100720475864955,"high","after","perc"
