OBJECTID_1,SABL_PWSID,WATER_SYST,WATER_SY_1,BOUNDARY_T,REGULATING,COUNTY,ADDR_LINE_,ADDR_LIN_1,ADDRESS_CI,ADDRESS_ST,ADDRESS_ZI,STATE_CLAS,POPULATION,SERVICE_CO,VERIFIED_S,LAST_EDITE,VERIFIED_N,VERIFIED_T,DT_VERIFIE,CREATED_US,CREATED_DA,LAST_EDI_1,OBJECTID,BOUNDARY_F,ACTIVITY_S,ACTIVITY_D,OWNER_TYPE,FEDERAL_CL,Shape__Are,Shape__Len,SHAPE,CIscore2018_min,CIscore2018_max,CIscore2018_mean,CIscoreP2018_min,CIscoreP2018_max,CIscoreP2018_mean
"400509",CA1100445,CA1100445,ORLAND MOBILE H.P.,Water Service Area,DISTRICT 21 - VALLEY,GLENN,4265 ROAD 99 WEST,P.O. BOX 1721,ORLAND,CA,"95963",COMMUNITY,"178","54",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1986/03/28,P,COMMUNITY,36576.638734250002017,790.599914970197005,,,,,,,
"400510",CA3200054,CA3200054,BIG MEADOWS SUBDIVISION,Water Service Area,LPA62 - PLUMAS COUNTY,PLUMAS,BIG MEADOWS SUBDIVISION,,CANYON DAM,CA,"95923",LOCAL STATE SMALL SYSTEM,"21","18",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/02/18,P,NON-PUBLIC,330678.842467760026921,2164.953698622150114,,,,,,,
"400511",CA5201140,CA5201140,ANTOINETTE MUTUAL WATER CO,Water Service Area,LPA82 - TEHAMA COUNTY,TEHAMA,507 ANTOINETTE COURT,,RED BLUFF,CA,"96080",COMMUNITY,"25","12",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/08/03,P,COMMUNITY,84790.249516365001909,1169.718165799320104,,,,,,,
"400512",CA1910234,CA1910234,WALNUT VALLEY WATER DISTRICT,Water Service Area,DISTRICT 16 - CENTRAL,LOS ANGELES,271 S. BREA CANYON ROAD,,WALNUT,CA,"91789",COMMUNITY,"105495","27100",Pending,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,L,COMMUNITY,115205380.685433000326157,60654.891858365197550,,45.200000,57.320000,51.260000,83.000000,95.000000,89.000000
"400529",CA3710047,CA3710047,CAMPO HILLS-COUNTY PUBLIC WORKS WASTEWTR,Water Service Area,DISTRICT 14 - SAN DIEGO,SAN DIEGO,Campo Hills - County Public Works,3215 White Sage Point,CAMPO,CA,"91906",COMMUNITY,"500","216",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,L,COMMUNITY,2536636.370889340061694,11756.255414211800598,,,,,,,
"400530",CA0500032,CA0500032,NEW MELONES LAKE MARINA,Water Service Area,LPA35 - CALAVERAS COUNTY,CALAVERAS,6503 Glory Hole Road,,ANGELS CAMP,CA,"95222",TRANSIENT NON-COMMUNITY,"100","2",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2016/07/29,S,TRANSIENT NON-COMMUNITY,37152.055446035003115,914.923715779024178,,,,,,,
"400531",CA1500452,CA1500452,RIVERDALE VILLAGE,Water Service Area,DISTRICT 12 - VISALIA,KERN,811 ROBERTS LANE,,BAKERSFIELD,CA,"93308",COMMUNITY,"750","290",Verified,2020/10/20,V. Nunez,Water System representative,2020/04/17,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1979/03/22,P,COMMUNITY,229183.816255415003980,1908.213103462440131,,57.940000,57.940000,57.940000,95.000000,95.000000,95.000000
"400532",CA4400692,CA4400692,ALLAN LANE WATER ASSOCIATION,Water Service Area,LPA74 - SANTA CRUZ COUNTY,SANTA CRUZ,283 Allan Lane,,CORRALITOS,CA,"95076",COMMUNITY,"54","16",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,2015/01/29,P,COMMUNITY,144104.117276205011876,2015.560731460280067,,,,,,,
"400533",CA0800649,CA0800649,MARGARET KEATING MAIN. & OPER.,Water Service Area,DISTRICT 01 - KLAMATH,DEL NORTE,,,,,,NON-TRANSIENT NON-COMMUNITY,"135","1",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1979/03/22,L,NON-TRANSIENT NON-COMMUNITY,136995.411689659988042,1807.692905044600138,,,,,,,
"400534",CA0800608,CA0800608,TREES OF MYSTERY,Water Service Area,DISTRICT 01 - KLAMATH,DEL NORTE,P.O. BOX 96,15500 HWY 101 N,KLAMATH,CA,"95548",TRANSIENT NON-COMMUNITY,"200","7",Not Verified,2020/10/20,,,1970/01/01,SBUCKNAM,2020/10/20,SBUCKNAM,,WBT Tool,A,1976/01/01,P,TRANSIENT NON-COMMUNITY,1050289.509277059929445,4737.205364868609649,,,,,,,
