STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER
"06","067","004906",1400000US06067004906,"06067004906","49.06",CT,"958392","0"
"06","067","005202",1400000US06067005202,"06067005202","52.02",CT,"1758565","115950"
"06","067","006800",1400000US06067006800,"06067006800","68",CT,"2481279","0"
"06","067","001200",1400000US06067001200,"06067001200","12",CT,"676073","0"
"06","067","002700",1400000US06067002700,"06067002700","27",CT,"1288108","0"
"06","067","004201",1400000US06067004201,"06067004201","42.01",CT,"1898572","0"
"06","067","004402",1400000US06067004402,"06067004402","44.02",CT,"1240514","0"
"06","067","006202",1400000US06067006202,"06067006202","62.02",CT,"1627293","0"
"06","067","006702",1400000US06067006702,"06067006702","67.02",CT,"3919171","0"
"06","067","007011",1400000US06067007011,"06067007011","70.11",CT,"1946690","0"
"06","067","007018",1400000US06067007018,"06067007018","70.18",CT,"4835521","0"
"06","067","007105",1400000US06067007105,"06067007105","71.05",CT,"1902986","55444"
"06","067","002500",1400000US06067002500,"06067002500","25",CT,"984311","0"
"06","067","003202",1400000US06067003202,"06067003202","32.02",CT,"1653977","0"
"06","067","003501",1400000US06067003501,"06067003501","35.01",CT,"1197868","0"
"06","067","004005",1400000US06067004005,"06067004005","40.05",CT,"1862767","351578"
"06","067","000300",1400000US06067000300,"06067000300","3",CT,"1452574","2502"
"06","067","001101",1400000US06067001101,"06067001101","11.01",CT,"1569668","0"
"06","067","004905",1400000US06067004905,"06067004905","49.05",CT,"1719211","0"
"06","067","009609",1400000US06067009609,"06067009609","96.09",CT,"1441647","0"
"06","067","007012",1400000US06067007012,"06067007012","70.12",CT,"1060389","0"
"06","067","000200",1400000US06067000200,"06067000200","2",CT,"1511258","0"
"06","067","003203",1400000US06067003203,"06067003203","32.03",CT,"985423","0"
"06","067","004903",1400000US06067004903,"06067004903","49.03",CT,"1775344","0"
"06","067","003502",1400000US06067003502,"06067003502","35.02",CT,"1260333","0"
"06","067","004601",1400000US06067004601,"06067004601","46.01",CT,"2267763","0"
"06","067","009633",1400000US06067009633,"06067009633","96.33",CT,"703932","0"
"06","067","002000",1400000US06067002000,"06067002000","20",CT,"1033082","0"
"06","067","002600",1400000US06067002600,"06067002600","26",CT,"937494","0"
"06","067","004202",1400000US06067004202,"06067004202","42.02",CT,"1642385","0"
"06","067","000500",1400000US06067000500,"06067000500","5",CT,"866054","0"
"06","067","000700",1400000US06067000700,"06067000700","7",CT,"471398","42394"
"06","067","001700",1400000US06067001700,"06067001700","17",CT,"3525651","0"
"06","067","002200",1400000US06067002200,"06067002200","22",CT,"2396408","333996"
"06","067","002400",1400000US06067002400,"06067002400","24",CT,"3224718","0"
"06","067","005502",1400000US06067005502,"06067005502","55.02",CT,"2868053","0"
"06","067","006600",1400000US06067006600,"06067006600","66",CT,"2220000","0"
"06","067","007010",1400000US06067007010,"06067007010","70.10",CT,"2413317","226363"
"06","067","007015",1400000US06067007015,"06067007015","70.15",CT,"5311991","577034"
"06","067","004502",1400000US06067004502,"06067004502","45.02",CT,"2702032","0"
"06","067","004701",1400000US06067004701,"06067004701","47.01",CT,"1401594","0"
"06","067","004702",1400000US06067004702,"06067004702","47.02",CT,"1539648","0"
"06","067","005205",1400000US06067005205,"06067005205","52.05",CT,"8885994","0"
"06","067","007102",1400000US06067007102,"06067007102","71.02",CT,"4437054","0"
"06","067","003102",1400000US06067003102,"06067003102","31.02",CT,"1147191","0"
"06","067","003400",1400000US06067003400,"06067003400","34",CT,"2248126","34205"
"06","067","003800",1400000US06067003800,"06067003800","38",CT,"4898249","0"
"06","067","004001",1400000US06067004001,"06067004001","40.01",CT,"3335075","79391"
"06","067","004009",1400000US06067004009,"06067004009","40.09",CT,"1873899","0"
"06","067","004010",1400000US06067004010,"06067004010","40.10",CT,"1648105","0"
"06","067","004011",1400000US06067004011,"06067004011","40.11",CT,"1109885","113516"
"06","067","009608",1400000US06067009608,"06067009608","96.08",CT,"3812113","0"
"06","067","009614",1400000US06067009614,"06067009614","96.14",CT,"2224373","0"
"06","067","007106",1400000US06067007106,"06067007106","71.06",CT,"6438494","79747"
"06","067","007413",1400000US06067007413,"06067007413","74.13",CT,"5486061","192933"
"06","067","003300",1400000US06067003300,"06067003300","33",CT,"2377878","0"
"06","067","003600",1400000US06067003600,"06067003600","36",CT,"1269305","0"
"06","067","003900",1400000US06067003900,"06067003900","39",CT,"2201950","251925"
"06","067","004004",1400000US06067004004,"06067004004","40.04",CT,"2866529","255128"
"06","067","004008",1400000US06067004008,"06067004008","40.08",CT,"1580374","90367"
"06","067","005201",1400000US06067005201,"06067005201","52.01",CT,"1877200","178418"
"06","067","002300",1400000US06067002300,"06067002300","23",CT,"1213095","0"
"06","067","002800",1400000US06067002800,"06067002800","28",CT,"924551","0"
"06","067","003000",1400000US06067003000,"06067003000","30",CT,"2583491","0"
"06","067","003204",1400000US06067003204,"06067003204","32.04",CT,"1599386","0"
"06","067","006300",1400000US06067006300,"06067006300","63",CT,"2759885","48714"
"06","067","006500",1400000US06067006500,"06067006500","65",CT,"3891463","0"
"06","067","006900",1400000US06067006900,"06067006900","69",CT,"5067989","163324"
"06","067","007004",1400000US06067007004,"06067007004","70.04",CT,"2876289","0"
"06","067","007016",1400000US06067007016,"06067007016","70.16",CT,"4885235","0"
"06","067","007020",1400000US06067007020,"06067007020","70.20",CT,"2387186","203976"
"06","067","007007",1400000US06067007007,"06067007007","70.07",CT,"3310012","448993"
"06","067","007014",1400000US06067007014,"06067007014","70.14",CT,"1962328","0"
"06","067","000100",1400000US06067000100,"06067000100","1",CT,"2034723","229437"
"06","067","000400",1400000US06067000400,"06067000400","4",CT,"975600","0"
"06","067","000600",1400000US06067000600,"06067000600","6",CT,"406308","0"
"06","067","001300",1400000US06067001300,"06067001300","13",CT,"792610","0"
"06","067","001500",1400000US06067001500,"06067001500","15",CT,"1746201","0"
"06","067","001600",1400000US06067001600,"06067001600","16",CT,"3048885","0"
"06","067","002100",1400000US06067002100,"06067002100","21",CT,"1451239","89475"
"06","067","005301",1400000US06067005301,"06067005301","53.01",CT,"5952173","491882"
"06","067","005403",1400000US06067005403,"06067005403","54.03",CT,"1301107","0"
"06","067","001800",1400000US06067001800,"06067001800","18",CT,"1717608","0"
"06","067","009606",1400000US06067009606,"06067009606","96.06",CT,"2705871","0"
"06","067","005204",1400000US06067005204,"06067005204","52.04",CT,"3714778","0"
"06","067","003700",1400000US06067003700,"06067003700","37",CT,"1427631","0"
"06","067","007103",1400000US06067007103,"06067007103","71.03",CT,"2194046","0"
"06","067","006701",1400000US06067006701,"06067006701","67.01",CT,"3289849","0"
"06","067","007013",1400000US06067007013,"06067007013","70.13",CT,"672743","0"
"06","067","000800",1400000US06067000800,"06067000800","8",CT,"525743","51938"
"06","067","003101",1400000US06067003101,"06067003101","31.01",CT,"1255292","0"
"06","067","001400",1400000US06067001400,"06067001400","14",CT,"794018","0"
"06","067","002900",1400000US06067002900,"06067002900","29",CT,"2317595","0"
"06","067","004012",1400000US06067004012,"06067004012","40.12",CT,"1575047","416559"
"06","067","004300",1400000US06067004300,"06067004300","43",CT,"3730648","0"
"06","067","004801",1400000US06067004801,"06067004801","48.01",CT,"1872216","0"
"06","067","006400",1400000US06067006400,"06067006400","64",CT,"3449978","0"
"06","067","007104",1400000US06067007104,"06067007104","71.04",CT,"2224427","0"
"06","067","004006",1400000US06067004006,"06067004006","40.06",CT,"1843197","69458"
"06","067","004203",1400000US06067004203,"06067004203","42.03",CT,"1637032","0"
"06","067","007019",1400000US06067007019,"06067007019","70.19",CT,"5642657","222592"
