,date,northCoast,taitStreet,feltonDiversions,newellInflow,newellUsed,,Annual Summary ,Surface Water,Felton diversion,Reservoir inflows,Reservoir Inflows
1,1/1/09,52.35,166.3,0,0,4.236062259,,2009,2854.34,71.12,747.50,818.62
2,2/1/09,65.62999999,89.58,29.84,383.52656,13.68573961,,2010,2636.23,0.00,678.10,678.10
3,3/1/09,124.25,86.68999999,41.28,199.4207771,0,,2011,2687.75,8.11,260.84,268.96
4,4/1/09,92.40999999,163.22,0,0,0,,2012,2687.29,41.36,867.19,908.55
5,5/1/09,87.57000001,183.31,0,0,0,,2013,2509.97,21.50,74.07,95.57
6,6/1/09,73.67000001,213.91,0,0,0,,2014,2136.36,38.10,398.70,436.80
7,7/1/09,64.80999999,233.01,0,0,0,,2015,1930.18,82.94,353.69,436.64
8,8/1/09,56.27000001,229.67,0,0,21.1803113,,2016,1981.06,179.95,828.42,1008.37
9,9/1/09,37.37,224.41,0,0,25.7422245,,2017,2379.34,0.00,297.73,297.73
10,10/1/09,49.15,162.28,0,123.1716565,31.28169053,,2018,2017.76,6.24,256.70,262.94
11,11/1/09,55.27,166,0,0,1.303403772,,2019,2176.39,0.00,558.52,558.52
12,12/1/09,57.78,119.43,0,41.38306977,35.51775279,,,,,,
13,1/1/10,67.68026756,101.65,0,240.152145,42.36062259,,Worst Case Year,1930.178061,,260.8436799,
14,2/1/10,103.0304075,40.46,0,64.84433766,49.52934334,,,,,,
15,3/1/10,146.61058,58.90000001,0,15.96669621,34.21434902,,,Surface Water,Demand,Res Inflows,Yearly Deficit
16,4/1/10,145.9205773,47.72,0,0,27.69733016,,Worst Case Year,1930.178061,2939,260,748.8219389
17,5/1/10,137.7405449,108.06,0,18.57350375,32.5850943,,,,,,
18,6/1/10,113.9904509,199.013,0,0,12.05648489,,,,,,
19,7/1/10,96.32038094,220.28,0,0,8.797975462,,,,,,
20,8/1/10,78.56031063,219.13,0,0,9.775528291,,,,,,
21,9/1/10,64.83025627,188.103,0,0,46.27083391,,April-Oct,Surface Water,Felton diversion,newell inflows,Total Inflows
22,10/1/10,58.06022947,152.69,0,1.303403772,49.2034924,,2009,1871.06,0,123.1716565,
23,11/1/10,72.10028505,79.19999999,0,23.78711884,54.74295843,,2010,1830.41875,0,19.87690753,
24,12/1/10,82.84032758,53.33999999,0,313.4686072,64.51848672,,2011,1804.686145,0,29.68502091,
25,1/1/11,123.8704904,78.40031039,8.113688482,26.2961711,3.291094525,,2012,1833.86726,0,155.7893359,
26,2/1/11,70.84028046,55.60422014,0,74.13108954,74.13108954,,2013,1489.058988,0,17.59595092,
27,3/1/11,110.7904386,30.78112186,0,77.38959897,65.36569917,,2014,1306.414576,0,17.0000673,
28,4/1/11,148.7205888,65.4942593,0,28.38161714,4.398987731,,2015,1127.64629,54.25939563,7.168720747,
