Year,Month,Amt directly diverted or collected to sotrage (MG),Groundwater Used (MG?),,
2008,January,267.3308206,156.01,,
2008,February,191.0075798,,,
2008,March,381.2479376,,,
2008,April,368.9416973,,,
2008,May,381.2479376,,,
2008,June,368.9416973,,,
2008,July,381.2479376,,,
2008,August,381.2479376,,,
2008,September   ,368.9416973,,,
2008,October,381.2479376,,,
2008,November,368.9416973,,,
2008,December,360.0419226,,,
2009,January,381.2479376,164.86,,
2009,February,274.9109736,,,
2009,March,266.0418877,,,
2009,April,368.9416973,,,
2009,May,381.2479376,,,
2009,June,368.9416973,,,
2009,July,381.2479376,,,
2009,August,381.2479376,,,
2009,September   ,368.9416973,,,
2009,October,381.2479376,,,
2009,November,368.9416973,,,
2009,December,366.5172759,,,
2010,January,311.95245,144.68 ,,
2010,February,124.1672024,,,
2010,March,180.7574944,,,
2010,April,146.4473282,,,
2010,May,331.6240211,,,
2010,June,368.950904,,,
2010,July,381.2479376,,,
2010,August,381.2479376,,,
2010,September   ,368.950904,,,
2010,October,381.2479376,,,
2010,November,243.0559177,,,
2010,December,163.6944779,,,
2011,January,231.9904266,162.61,,
2011,February,162.1729516,,,
2011,March,92.6838489,,,
2011,April,179.1746576,,,
2011,May,326.5585801,,,
2011,June,297.1830693,,,
2011,July,381.2248958,,,
2011,August,381.2248958,,,
2011,September   ,368.9278135,,,
2011,October,300.905645,,,
2011,November,304.3857776,,,
2011,December,380.666356,,,
2012,January,340.218254,162.69,,
2012,February,355.716199,,,
2012,March,227.436179,,,
2012,April,290.072428,,,
2012,May,348.105327,,,
2012,June,368.912469,,,
2012,July,381.218758,,,
2012,August,381.218758,,,
2012,September   ,368.912469,,,
2012,October,336.873153,,,
2012,November,242.627234,,,
2012,December,176.093482,,,
2013,January,363.787406,159.84,,
2013,February,344.33058,,,
2013,March,377.935035,,,
2013,April,367.592842,,,
2013,May,381.218758,,,
2013,June,368.912469,,,
2013,July,381.188069,,,
2013,August,216.418828,,,
2013,September   ,317.845973,,,
2013,October,370.72312,,,
2013,November,363.265693,,,
2013,December,378.456748,,,
2014,January,381.15738,188,,
2014,February,280.49746,,,
2014,March,350.16149,,,
2014,April,368.88178,,,
2014,May,381.15738,,,
2014,June,368.88178,,,
2014,July,378.70226,,,
2014,August,344.94436,,,
2014,September   ,319.77938,,,
2014,October,350.16149,,,
2014,November,301.05909,,,
2014,December,119.6871,,,
2015,January,365.96,187.9,,
2015,February,318.76,,,
2015,March,371.46,,,
2015,April,368.69,,,
2015,May,374.39,,,
2015,June,367.43,,,
2015,July,339.98,,,
2015,August,272.67,,,
2015,September   ,223.3,,,
2015,October,247.07,,,
2015,November,285.85,,,
2015,December,176,,,
2016,January,221.25,149,Acre-feet ,
2016,February,317.7,,,
2016,March,182.1,,,
2016,April,332.39,,,
2016,May,381.09,,,
2016,June,367.83,,,
2016,July,377.27,,,
2016,August,318.43,,,
2016,September   ,297.5,,,
2016,October,286.76,,,
2016,November,346.2,,,
2016,December,197.81,,,
2017,January,122.24,169.51,,
2017,February,133.13,,,
2017,March,239.31,,,
2017,April,323.08,,,
2017,May,348.24,,,
2017,June,368.91,,,
2017,July,381.21,,,
2017,August,381.21,,,
2017,September   ,350.88,,,
2017,October,381.21,,,
2017,November,273.61,,,
2017,December,381.21,,,
2018,January,340.1,169.6,,
2018,February,344.32,,,
2018,March,217.26,,,
2018,April,348.08,,,
2018,May,369.04,,,
2018,June,362.15,,,
2018,July,381.21,,,
2018,August,381.09,,,
2018,September   ,362.53,,,
2018,October,378.59,,,
2018,November,297.26,,,
2018,December,98.59,,,
2019,January,204.75,32.44,,
2019,February,190.12,,,
2019,March,283.29,,,
2019,April,270.31,,,
2019,May,310.02,,,
2019,June,368.91,,,
2019,July,375.91,,,
2019,August,379.26,,,
2019,September   ,368.91,,,
2019,October,375.41,,,
2019,November,317.69,,,
2019,December,177.56,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
