Year,Month,Amt directly diverted or collected to sotrage (MG)
2009,January,0.460333178
2009,February,0.460333178
2009,March,0.460333178
2009,April,0.460333178
2009,May,0.460333178
2009,June,0.460333178
2009,July,0.460333178
2009,August,0.460333178
2009,September,0.460333178
2009,October,0.460333178
2009,November,0.460333178
2009,December,0.460333178
2010,January,0.306888785
2010,February,0.306888785
2010,March,0.306888785
2010,April,0.306888785
2010,May,0.306888785
2010,June,0.306888785
2010,July,0.306888785
2010,August,0.306888785
2010,September,0.306888785
2010,October,0.306888785
2010,November,0.306888785
2010,December,0.306888785
2011,January,2.178919
2011,February,2.178919
2011,March,2.178919
2011,April,2.178919
2011,May,2.178919
2011,June,2.178919
2011,July,2.178919
2011,August,2.178919
2011,September,2.178919
2011,October,2.178919
2011,November,2.178919
2011,December,2.178919
2012,January,0
2012,February,0
2012,March,0
2012,April,0
2012,May,0
2012,June,0
2012,July,0
2012,August,0
2012,September,0
2012,October,0
2012,November,0
2012,December,0
2013,January,0
2013,February,0
2013,March,0
2013,April,0
2013,May,0
2013,June,0
2013,July,0
2013,August,0
2013,September,0
2013,October,0
2013,November,0
2013,December,0
2014,January,0
2014,February,0
2014,March,0
2014,April,0
2014,May,0
2014,June,0
2014,July,0
2014,August,0
2014,September,0
2014,October,0
2014,November,0
2014,December,0
2015,January,0
2015,February,0
2015,March,0
2015,April,0
2015,May,0
2015,June,0
2015,July,0
2015,August,0
2015,September,0
2015,October,0
2015,November,0
2015,December,0
2016,January,0
2016,February,0
2016,March,0
2016,April,0
2016,May,0
2016,June,0
2016,July,0
2016,August,0
2016,September,0
2016,October,0
2016,November,0
2016,December,0
2017,January,0
2017,February,0
2017,March,0
2017,April,0
2017,May,0
2017,June,0
2017,July,0
2017,August,0
2017,September,0
2017,October,0
2017,November,0
2017,December,0
2018,January,0
2018,February,0
2018,March,0
2018,April,0
2018,May,0
2018,June,0
2018,July,0
2018,August,0
2018,September,0
2018,October,0
2018,November,0
2018,December,0
2019,January,0
2019,February,0
2019,March,0
2019,April,0
2019,May,0
2019,June,0
2019,July,0
2019,August,0
2019,September,0
2019,October,0
2019,November,0
2019,December,0
2020,January,0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
