"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more"
"1500000US060371011101","Block Group 1, Census Tract 1011.10, Los Angeles County, California","592","97","18","26","48","53","36","38","0","12","36","42","19","22","35","44","10","16","35","34","20","23","46","32","113","64","39","31","37","31","79","55","21","25"
"1500000US060371011102","Block Group 2, Census Tract 1011.10, Los Angeles County, California","586","106","68","66","33","44","46","57","34","38","19","23","59","62","21","23","20","23","10","17","45","32","16","19","88","57","60","39","33","40","0","12","34","27"
"1500000US060371011103","Block Group 3, Census Tract 1011.10, Los Angeles County, California","397","86","0","12","10","15","19","31","10","15","0","12","0","12","11","17","16","25","54","43","34","35","45","42","73","55","52","38","5","9","46","45","22","22"
"1500000US060371011221","Block Group 1, Census Tract 1011.22, Los Angeles County, California","828","93","66","52","21","22","0","12","0","12","36","43","25","27","0","12","0","12","8","13","16","17","58","41","240","109","71","52","74","40","73","45","140","64"
"1500000US060371011222","Block Group 2, Census Tract 1011.22, Los Angeles County, California","484","94","0","12","0","12","0","12","47","48","0","12","0","12","7","11","0","12","44","49","18","18","108","79","58","47","48","34","72","59","42","35","40","37"
"1500000US060371012101","Block Group 1, Census Tract 1012.10, Los Angeles County, California","1055","142","180","93","87","70","135","92","0","12","58","50","96","81","100","72","8","16","64","64","36","28","62","61","70","73","28","32","80","56","20","32","31","47"
"1500000US060371012102","Block Group 2, Census Tract 1012.10, Los Angeles County, California","1242","155","91","82","48","45","143","77","39","41","50","57","73","65","12","21","45","43","114","70","127","73","103","59","191","101","120","89","26","31","33","39","27","30"
"1500000US060371012201","Block Group 1, Census Tract 1012.20, Los Angeles County, California","439","64","28","23","26","29","38","29","9","13","17","18","21","23","29","21","54","40","27","33","34","27","17","21","52","41","40","29","26","21","21","24","0","12"
"1500000US060371012202","Block Group 2, Census Tract 1012.20, Los Angeles County, California","918","79","57","53","102","52","86","57","48","39","18","28","73","49","54","37","53","37","56","46","50","34","46","31","70","38","74","55","42","38","48","44","41","32"
