,Date,baselineDemand,,surface,ground,level,deficit,release,restriction,trigger,conserveStatus,buildStatus,fixedCharge,tieredPrices,pedReduction,month
0,2020-01-01,1693.4508412811647,,1913.0,369.4,30000.0,0,1913.0,,,0,,29.52,,0,1
1,2020-02-01,1813.7735323822824,,1913.0,369.4,30000.0,0,1913.0,,,0,,29.52,,0,2
2,2020-03-01,1905.8648561088226,,1913.0,369.4,30000.0,0,1913.0,,,0,,29.52,,0,3
3,2020-04-01,2055.1327102368627,,1913.0,369.4,30000.0,0,1913.0,,,0,,29.52,,0,4
4,2020-05-01,2535.949323749208,,1913.0,369.4,29746.45067625079,1.1368683772161603e-13,2166.549323749208,,,0,,29.52,,0,5
5,2020-06-01,2924.94929351832,,1913.0,369.4,29103.90138273247,1.1368683772161603e-13,2555.5492935183197,,,0,,29.52,,0,6
6,2020-07-01,3022.2460009227384,,1913.0,369.4,28364.055381809732,1.1368683772161603e-13,2652.8460009227383,,,0,,29.52,,0,7
7,2020-08-01,2905.025612145738,,1913.0,369.4,27741.429769663995,1.1368683772161603e-13,2535.6256121457377,,,0,,29.52,,0,8
8,2020-09-01,2652.0438964784744,,1913.0,369.4,27371.78587318552,1.1368683772161603e-13,2282.6438964784743,,,0,,29.52,,0,9
9,2020-10-01,2413.039123706143,,1913.0,369.4,27241.146749479376,1.1368683772161603e-13,2043.639123706143,,,0,,29.52,,0,10
10,2020-11-01,2093.744479593642,,1913.0,369.4,27429.802269885735,1.1368683772161603e-13,1724.344479593642,,,0,,29.52,,0,11
11,2020-12-01,1739.0725702322443,,1913.0,369.4,27973.12969965349,1.1368683772161603e-13,1369.6725702322442,,,0,,29.52,,0,12
12,2021-01-01,1693.4508412811647,,1913.0,369.4,28562.078858372326,1.1368683772161603e-13,1324.0508412811646,,,0,,29.52,,0,1
13,2021-02-01,1813.7735323822824,,1913.0,369.4,29030.705325990042,0,1444.3735323822825,,,0,,29.52,,0,2
14,2021-03-01,1905.8648561088226,,1913.0,369.4,29407.24046988122,1.1368683772161603e-13,1536.4648561088225,,,0,,29.52,,0,3
15,2021-04-01,2055.1327102368627,,1913.0,369.4,29634.50775964436,1.1368683772161603e-13,1685.7327102368627,,,0,,29.52,,0,4
16,2021-05-01,2535.949323749208,,1913.0,369.4,29380.95843589515,1.1368683772161603e-13,2166.549323749208,,,0,,29.52,,0,5
17,2021-06-01,2924.94929351832,,1913.0,369.4,28738.40914237683,1.1368683772161603e-13,2555.5492935183197,,,0,,29.52,,0,6
18,2021-07-01,3022.2460009227384,,1913.0,369.4,27998.56314145409,1.1368683772161603e-13,2652.8460009227383,,,0,,29.52,,0,7
19,2021-08-01,2905.025612145738,,1913.0,369.4,27375.937529308354,1.1368683772161603e-13,2535.6256121457377,,,0,,29.52,,0,8
20,2021-09-01,2652.0438964784744,,1913.0,369.4,27006.29363282988,1.1368683772161603e-13,2282.6438964784743,,,0,,29.52,,0,9
21,2021-10-01,2413.039123706143,,1913.0,369.4,26875.654509123735,1.1368683772161603e-13,2043.639123706143,,,0,,29.52,,0,10
22,2021-11-01,2093.744479593642,,1913.0,369.4,27064.310029530094,1.1368683772161603e-13,1724.344479593642,,,0,,29.52,,0,11
23,2021-12-01,1739.0725702322443,,1913.0,369.4,27607.63745929785,1.1368683772161603e-13,1369.6725702322442,,,0,,29.52,,0,12
24,2022-01-01,1693.4508412811647,,1913.0,369.4,28196.586618016685,1.1368683772161603e-13,1324.0508412811646,,,0,,29.52,,0,1
