,Date,baselineDemand,,surface,ground,level,deficit,release,restriction,trigger,conserveStatus,buildStatus,fixedCharge,tieredPrices,pedReduction,month
0,2020-01-01,1704.7996706670124,,1913.0,369.4,30000.0,0,1913.0,,,0,,29.52,,0,1
1,2020-02-01,1826.8478074740328,,1913.0,369.4,30000.0,0,1913.0,,,0,,29.52,,0,2
2,2020-03-01,1920.2597348009483,,1913.0,369.4,30000.0,0,1913.0,,,0,,29.52,,0,3
3,2020-04-01,2071.668112678729,,1913.0,369.4,30000.0,0,1913.0,,,0,,29.52,,0,4
4,2020-05-01,2559.379709618719,,1913.0,369.4,29723.020290381282,1.1368683772161603e-13,2189.979709618719,,,0,,29.52,,0,5
5,2020-06-01,2953.9579981678744,,1913.0,369.4,29051.462292213408,1.1368683772161603e-13,2584.5579981678743,,,0,,29.52,,0,6
6,2020-07-01,3052.6499551669713,,1913.0,369.4,28281.212337046436,1.1368683772161603e-13,2683.249955166971,,,0,,29.52,,0,7
7,2020-08-01,2933.7486081716274,,1913.0,369.4,27629.863728874807,1.1368683772161603e-13,2564.3486081716273,,,0,,29.52,,0,8
8,2020-09-01,2677.1390961928328,,1913.0,369.4,27235.124632681975,1.1368683772161603e-13,2307.7390961928327,,,0,,29.52,,0,9
9,2020-10-01,2434.706958597653,,1913.0,369.4,27082.817674084323,1.1368683772161603e-13,2065.3069585976527,,,0,,29.52,,0,10
10,2020-11-01,2110.833580685566,,1913.0,369.4,27254.384093398756,1.1368683772161603e-13,1741.433580685566,,,0,,29.52,,0,11
11,2020-12-01,1751.0756221557872,,1913.0,369.4,27785.708471242968,1.1368683772161603e-13,1381.675622155787,,,0,,29.52,,0,12
12,2021-01-01,1704.7996706670124,,1913.0,369.4,28363.308800575956,1.1368683772161603e-13,1335.3996706670123,,,0,,29.52,,0,1
13,2021-02-01,1826.8478074740328,,1913.0,369.4,28818.860993101924,1.1368683772161603e-13,1457.4478074740327,,,0,,29.52,,0,2
14,2021-03-01,1920.2597348009483,,1913.0,369.4,29181.001258300974,0,1550.8597348009484,,,0,,29.52,,0,3
15,2021-04-01,2071.668112678729,,1913.0,369.4,29391.733145622246,1.1368683772161603e-13,1702.2681126787288,,,0,,29.52,,0,4
16,2021-05-01,2559.379709618719,,1913.0,369.4,29114.753436003528,1.1368683772161603e-13,2189.979709618719,,,0,,29.52,,0,5
17,2021-06-01,2953.9579981678744,,1913.0,369.4,28443.195437835653,1.1368683772161603e-13,2584.5579981678743,,,0,,29.52,,0,6
18,2021-07-01,3052.6499551669713,,1913.0,369.4,27672.94548266868,1.1368683772161603e-13,2683.249955166971,,,0,,29.52,,0,7
19,2021-08-01,2933.7486081716274,,1913.0,369.4,27021.596874497052,1.1368683772161603e-13,2564.3486081716273,,,0,,29.52,,0,8
20,2021-09-01,2677.1390961928328,,1913.0,369.4,26626.85777830422,1.1368683772161603e-13,2307.7390961928327,,,0,,29.52,,0,9
21,2021-10-01,2434.706958597653,,1913.0,369.4,26474.55081970657,1.1368683772161603e-13,2065.3069585976527,,,0,,29.52,,0,10
22,2021-11-01,2110.833580685566,,1913.0,369.4,26646.117239021,1.1368683772161603e-13,1741.433580685566,,,0,,29.52,,0,11
23,2021-12-01,1751.0756221557872,,1913.0,369.4,27177.441616865213,1.1368683772161603e-13,1381.675622155787,,,0,,29.52,,0,12
24,2022-01-01,1704.7996706670124,,1913.0,369.4,27755.041946198202,1.1368683772161603e-13,1335.3996706670123,,,0,,29.52,,0,1
25,2022-02-01,1826.8478074740328,,1913.0,369.4,28210.59413872417,1.1368683772161603e-13,1457.4478074740327,,,0,,29.52,,0,2
26,2022-03-01,1920.2597348009483,,1913.0,369.4,28572.73440392322,0,1550.8597348009484,,,0,,29.52,,0,3
27,2022-04-01,2071.668112678729,,1913.0,369.4,28783.46629124449,1.1368683772161603e-13,1702.2681126787288,,,0,,29.52,,0,4
28,2022-05-01,2559.379709618719,,1913.0,369.4,28506.486581625773,1.1368683772161603e-13,2189.979709618719,,,0,,29.52,,0,5
29,2022-06-01,2953.9579981678744,,1873.14583333333,369.4,27795.074416791227,1.1368683772161603e-13,2584.5579981678743,,,0,,29.52,,0,6
30,2022-07-01,3052.6499551669713,,1833.29166666667,369.4,26945.116128290927,1.1368683772161603e-13,2683.249955166971,,,0,,29.52,,0,7
31,2022-08-01,2933.7486081716274,,1793.4375,369.4,26174.205020119298,1.1368683772161603e-13,2564.3486081716273,,,0,,29.52,,0,8
32,2022-09-01,2677.1390961928328,,1753.58333333333,369.4,25620.049257259794,1.1368683772161603e-13,2307.7390961928327,,,0,,29.52,,0,9
