,Date,totalDemand,residentialDemand,otherDemand,surface,ground,level,deficit,release,restriction,trigger,conserveStatus,fixedCharge,tieredPrices,pedReduction,annualRevenueLost,monthlyVolumeReduced,month
0,2009-01-01,155.06292196564834,109.43792196564836,45.625,218.65,13.73833333,2781.1,0,20,,,0,10.99,,0,,,1
1,2009-02-01,160.00527474584095,106.95527474584095,53.05,155.20999999,13.73833333,2800.0,0,395.56655999999975,,,0,10.99,,0,,,2
2,2009-03-01,157.8645030786528,103.3645030786528,54.5,210.93999999,13.73833333,2800.0,0,241.80077710000023,,,0,10.99,,0,,,3
3,2009-04-01,173.28735471049632,114.63735471049631,58.65,255.62999999,13.73833333,2771.0,0,20,,,0,10.99,,0,,,4
4,2009-05-01,160.51745125182,131.7868825076072,64.7325,270.88000001,13.73833333,2738.0,0,20,,,0.16,14.512378508789693,,0.04702898739588241,3178481.8305653185,21.085901201217144,5
5,2009-06-01,176.16971384326803,141.06677376747407,74.4075,287.58000001,13.73833333,2705.0,0,20,,,0.16,14.512378508789693,,0.04702898739588241,,,6
6,2009-07-01,180.01986482631935,145.0880648022086,75.15,297.81999999,13.73833333,2667.0,0,20,,,0.16,14.512378508789693,,0.04702898739588241,,,7
7,2009-08-01,180.02526235461175,138.8511758596595,81.03,285.94000001,13.73833333,2629.0,0,20,,,0.16,14.512378508789693,,0.04702898739588241,,,8
8,2009-09-01,174.91788003235743,138.8286806440501,75.0425,261.78,13.73833333,2596.0,0,20,,,0.16,14.512378508789693,,0.04702898739588241,,,9
9,2009-10-01,167.0786650439739,131.62131482744698,72.6075,211.43,13.73833333,2690.1716565,0,20,,,0.16,14.512378508789693,,0.04702898739588241,,,10
10,2009-11-01,179.96445017689734,113.97718161446208,71.3475,221.27,13.73833333,2671.2716565,0,20,,,0.0,10.99,,0.04702898739588241,0.0,0.0,11
11,2009-12-01,161.09868067812363,105.88063996028379,60.1975,177.21,13.73833333,2693.75472627,0,20,,,0.0,10.99,,0.04702898739588241,,,12
12,2010-01-01,149.91616731289434,109.43792196564836,45.625,169.33026756,12.05666667,2800.0,0,135.00687126999992,,,0.0,10.99,,0.04702898739588241,,,1
