,Date,totalDemand,residentialDemand,otherDemand,surface,ground,level,deficit,release,restriction,trigger,conserveStatus,fixedCharge,tieredPrices,pedReduction,annualRevenueLost,monthlyVolumeReduced,month
0,1/1/09,169.5534687,123.9284687,45.625,218.65,13.73833333,2781.1,0,20,,,0,10.99,,0,,,1
1,2/1/09,174.1670971,121.1170971,53.05,155.21,13.73833333,2800,0,390.3477963,,,0,10.99,,0,,,2
2,3/1/09,171.5508755,117.0508755,54.5,210.94,13.73833333,2800,0,241.8007771,,,0,10.99,,0,,,3
3,4/1/09,188.4663522,129.8163522,58.65,255.63,13.73833333,2771,0,20,,,0,10.99,,0,,,4
4,5/1/09,177.2759313,149.2366289,64.7325,270.88,13.73833333,2738,0,20,,,0.16,14.94859874,,0.024772594,4377589.494,23.87786062,5
5,6/1/09,194.1082573,159.7452596,74.4075,287.58,13.73833333,2705,0,20,,,0.16,14.94859874,,0.024772594,,,6
6,7/1/09,198.4697697,164.2990051,75.15,297.82,13.73833333,2667,0,20,,,0.16,14.94859874,,0.024772594,,,7
7,8/1/09,197.6820626,157.236297,81.03,285.94,13.73833333,2629,0,20,,,0.16,14.94859874,,0.024772594,,,8
8,9/1/09,192.5718197,157.2108232,75.0425,261.78,13.73833333,2596,0,20,,,0.16,14.94859874,,0.024772594,,,9
9,10/1/09,183.8160909,149.0491385,72.6075,211.43,13.73833333,2690.171657,0,20,,,0.16,14.94859874,,0.024772594,,,10
10,11/1/09,197.2188982,129.0687664,71.3475,221.27,13.73833333,2671.271657,0,20,,,0,10.99,,0.024772594,0,0,11
11,12/1/09,177.1274328,119.9001712,60.1975,177.21,13.73833333,2693.754726,0,20,,,0,10.99,,0.024772594,,,12
12,1/1/10,166.483439,123.9284687,45.625,169.3302676,12.05666667,2800,0,135.0068713,,,0,10.99,,0.024772594,,,1
13,2/1/10,171.1667123,121.1170971,53.05,143.4904075,12.05666667,2800,0,50.32469948,,,0,10.99,,0.024772594,,,2
14,3/1/10,168.6512217,117.0508755,54.5,205.51058,12.05666667,2797.066696,0,20,,,0,10.99,,0.024772594,,,3
15,4/1/10,185.2504644,129.8163522,58.65,193.6405773,12.05666667,2768.066696,0,20,,,0,10.99,,0.024772594,,,4
16,5/1/10,210.2721504,149.2366289,64.7325,245.8005449,12.05666667,2753.6402,0,20,,,0,10.99,,0.024772594,,,5
17,6/1/10,230.1954551,159.7452596,74.4075,313.0034509,12.05666667,2720.6402,0,20,,,0,10.99,,0.024772594,,,6
