,Date,totalDemand,residentialDemand,otherDemand,surface,ground,level,deficit,release,restriction,trigger,conserveStatus,fixedCharge,tieredPrices,pedReduction,annualRevenueLost,monthlyVolumeReduced,month
0,2009-01-01,85.85953013442955,40.23453013442954,45.625,218.65,13.73833333,2781.1,0,20,,,0,10.99,,0,,,1
1,2009-02-01,92.37179218597093,39.321792185970935,53.05,155.20999999,13.73833333,2800.0,0,395.56655999999975,,,0,10.99,,0,,,2
2,2009-03-01,92.50165554362235,38.00165554362234,54.5,210.93999999,13.73833333,2800.0,0,241.80077710000023,,,0,10.99,,0,,,3
3,2009-04-01,100.79608629062363,42.14608629062364,58.65,255.62999999,13.73833333,2771.0,0,20,,,0,10.99,,0,,,4
4,2009-05-01,93.80748759258088,48.45105974544382,64.7325,270.88000001,13.73833333,2738.0,0,20,,,0.16,14.51237850878969,,0.047028987395882356,1168559.4965313654,7.752169559271008,5
5,2009-06-01,104.7623083982603,51.862784473336056,74.4075,287.58000001,13.73833333,2705.0,0,20,,,0.16,14.51237850878969,,0.047028987395882356,,,6
6,2009-07-01,106.57689883320566,53.34120029492963,75.15,297.81999999,13.73833333,2667.0,0,20,,,0.16,14.51237850878969,,0.047028987395882356,,,7
7,2009-08-01,109.73938321860726,51.04822641899245,81.03,285.94000001,13.73833333,2629.0,0,20,,,0.16,14.51237850878969,,0.047028987395882356,,,8
8,2009-09-01,104.64338787954318,51.03995611913607,75.0425,261.78,13.73833333,2596.0,0,20,,,0.16,14.51237850878969,,0.047028987395882356,,,9
9,2009-10-01,100.45251104557865,48.39018927479669,72.6075,211.43,13.73833333,2690.1716565,0,20,,,0.16,14.51237850878969,,0.047028987395882356,,,10
10,2009-11-01,111.28020227091812,41.903375593552234,71.3475,221.27,13.73833333,2671.2716565,0,20,,,0.0,10.99,,0.047028987395882356,0.0,0.0,11
11,2009-12-01,97.29352230813369,38.92670586775139,60.1975,177.21,13.73833333,2693.75472627,0,20,,,0.0,10.99,,0.047028987395882356,,,12
12,2010-01-01,83.96734092385822,40.23453013442954,45.625,169.33026756,12.05666667,2800.0,0,135.00687126999992,,,0.0,10.99,,0.047028987395882356,,,1
13,2010-02-01,90.5225281168734,39.321792185970935,53.05,143.4904075,12.05666667,2800.0,0,65.9443376600002,,,0.0,10.99,,0.047028987395882356,,,2
14,2010-03-01,90.71447616403867,38.00165554362234,54.5,205.51058001,12.05666667,2797.06669621,0,20,,,0.0,10.99,,0.047028987395882356,,,3
15,2010-04-01,98.81399852967613,42.14608629062364,58.65,193.6405773,12.05666667,2768.06669621,0,20,,,0.0,10.99,,0.047028987395882356,,,4
16,2010-05-01,110.9049554673582,48.45105974544382,64.7325,245.8005449,12.05666667,2753.64019996,0,20,,,0.0,10.99,,0.047028987395882356,,,5
17,2010-06-01,123.83123023602417,51.862784473336056,74.4075,313.0034509,12.05666667,2720.64019996,0,20,,,0.0,10.99,,0.047028987395882356,,,6
18,2010-07-01,125.98261765857815,53.34120029492963,75.15,316.60038094000004,12.05666667,2682.64019996,0,20,,,0.0,10.99,,0.047028987395882356,,,7
19,2010-08-01,129.6774800221515,51.04822641899245,81.03,297.69031063,12.05666667,2644.64019996,0,20,,,0.0,10.99,,0.047028987395882356,,,8
20,2010-09-01,123.68209866612284,51.03995611913607,75.0425,252.93325627000002,12.05666667,2611.64019996,0,20,,,0.0,10.99,,0.047028987395882356,,,9
21,2010-10-01,118.72194767330791,48.39018927479669,72.6075,210.75022947,12.05666667,2583.9436037319997,0,20,,,0.0,10.99,,0.047028987395882356,,,10
22,2010-11-01,111.28020227091812,41.903375593552234,71.3475,151.30028504,12.05666667,2588.8307225719996,0,20,,,0.0,10.99,,0.047028987395882356,,,11
23,2010-12-01,97.29352230813369,38.92670586775139,60.1975,136.18032757,12.05666667,2800.0,0,103.39932977199942,,,0.0,10.99,,0.047028987395882356,,,12
24,2011-01-01,83.96734092385822,40.23453013442954,45.625,202.27080079,13.55083333,2800.0,0,35.50985958199999,,,0.0,10.99,,0.047028987395882356,,,1
25,2011-02-01,90.5225281168734,39.321792185970935,53.05,126.4445006,13.55083333,2800.0,0,75.23108954000008,,,0.0,10.99,,0.047028987395882356,,,2
26,2011-03-01,90.71447616403867,38.00165554362234,54.5,141.57156046,13.55083333,2800.0,0,78.48959896999986,,,0.0,10.99,,0.047028987395882356,,,3
27,2011-04-01,98.81399852967613,42.14608629062364,58.65,214.21484809999998,13.55083333,2799.38161714,0,20,,,0.0,10.99,,0.047028987395882356,,,4
28,2011-05-01,110.9049554673582,48.45105974544382,64.7325,261.84003659999996,13.55083333,2766.38161714,0,20,,,0.0,10.99,,0.047028987395882356,,,5
