,drought_characteristic,income_distribution,income_elasticity,fee_passthrough,reservoir_capacity,pay_back_period,discount_rate,mitigation_decision,build_decision
5,baseline.csv,state,0.1,zero_threshold,1400,20,1.5,build,desal
6,baseline.csv,state,0.1,zero_threshold,1400,20,3.0,baseline,none
8,baseline.csv,state,0.1,zero_threshold,1400,20,3.0,improved,none
11,baseline.csv,state,0.1,zero_threshold,1400,20,3.0,build,desal
17,baseline.csv,state,0.1,zero_threshold,1400,20,4.5,build,desal
23,baseline.csv,state,0.1,zero_threshold,1400,30,1.5,build,desal
24,baseline.csv,state,0.1,zero_threshold,1400,30,3.0,baseline,none
26,baseline.csv,state,0.1,zero_threshold,1400,30,3.0,improved,none
29,baseline.csv,state,0.1,zero_threshold,1400,30,3.0,build,desal
35,baseline.csv,state,0.1,zero_threshold,1400,30,4.5,build,desal
41,baseline.csv,state,0.1,zero_threshold,1400,40,1.5,build,desal
42,baseline.csv,state,0.1,zero_threshold,1400,40,3.0,baseline,none
44,baseline.csv,state,0.1,zero_threshold,1400,40,3.0,improved,none
47,baseline.csv,state,0.1,zero_threshold,1400,40,3.0,build,desal
53,baseline.csv,state,0.1,zero_threshold,1400,40,4.5,build,desal
59,baseline.csv,state,0.1,zero_threshold,2800,20,1.5,build,desal
60,baseline.csv,state,0.1,zero_threshold,2800,20,3.0,baseline,none
62,baseline.csv,state,0.1,zero_threshold,2800,20,3.0,improved,none
65,baseline.csv,state,0.1,zero_threshold,2800,20,3.0,build,desal
71,baseline.csv,state,0.1,zero_threshold,2800,20,4.5,build,desal
77,baseline.csv,state,0.1,zero_threshold,2800,30,1.5,build,desal
78,baseline.csv,state,0.1,zero_threshold,2800,30,3.0,baseline,none
80,baseline.csv,state,0.1,zero_threshold,2800,30,3.0,improved,none
83,baseline.csv,state,0.1,zero_threshold,2800,30,3.0,build,desal
89,baseline.csv,state,0.1,zero_threshold,2800,30,4.5,build,desal
95,baseline.csv,state,0.1,zero_threshold,2800,40,1.5,build,desal
96,baseline.csv,state,0.1,zero_threshold,2800,40,3.0,baseline,none
98,baseline.csv,state,0.1,zero_threshold,2800,40,3.0,improved,none
101,baseline.csv,state,0.1,zero_threshold,2800,40,3.0,build,desal
107,baseline.csv,state,0.1,zero_threshold,2800,40,4.5,build,desal
113,baseline.csv,state,0.1,zero_threshold,5600,20,1.5,build,desal
114,baseline.csv,state,0.1,zero_threshold,5600,20,3.0,baseline,none
