,Date,baselineDemand,,surface,ground,level,deficit,release,restriction,trigger,conserveStatus,buildStatus,fixedCharge,tieredPrices,pedReduction,month
0,2009-01-01,204.69937546486392,,671.012328338,10,2775.7639377405076,190.46331320537146,20,,,0,,13.55,,0,1
1,2009-02-01,208.51570354477383,,476.32208316799995,10,2800.0,184.82996393718273,437.18037152850457,,,0,,13.55,,0,2
2,2009-03-01,204.74630838324853,,647.351203018,10,2800.0,194.74630838324853,326.1044675791841,,,0,,13.55,,0,3
3,2009-04-01,225.28205292988255,,784.499801078,10,2780.0,215.28205292988255,20,,,0,,13.55,,0,4
4,2009-05-01,256.2923875857622,,831.300340858,10,2760.0,246.29238758576219,20,,,0,,13.55,,0,5
5,2009-06-01,279.45624848544685,,882.5507679479999,10,2740.0,269.45624848544685,20,,,0,,13.55,,0,6
6,2009-07-01,286.04392855121637,,913.976179428,10,2720.0,276.04392855121637,20,,,0,,13.55,,0,7
7,2009-08-01,282.8582482499115,,877.517791848,10,2678.8196887025374,251.6779369524491,20,,,0,,13.55,,0,8
8,2009-09-01,276.838050147556,,803.373461348,10,2633.077464202545,241.0958256475633,20,,,0,,13.55,,0,9
9,2009-10-01,263.92672534688194,,648.854958128,10,2704.9674301392283,222.64503481524522,20,,,0,,13.55,,0,10
10,2009-11-01,237.01995299355232,,679.052814568,10,2683.664026367077,225.71654922140078,20,,,0,,13.55,,0,11
11,2009-12-01,214.10115947179716,,543.837615868,10,2669.5293433417587,168.58340668066796,20,,,0,,13.55,,0,12
12,2010-01-01,204.69937546486392,,519.6556007849999,10,2800.0,152.3387528699392,67.32086576575284,,,0,,13.55,,0,1
13,2010-02-01,208.51570354477383,,440.355968185,10,2795.3149943227804,148.98636020301564,20,,,0,,13.55,,0,2
14,2010-03-01,204.74630838324853,,630.688922185,10,2757.067341512659,160.53195936427085,20,,,0,,13.55,,0,3
15,2010-04-01,225.28205292988255,,594.261214985,10,2709.3700113544387,187.58472277166254,20,,,0,,13.55,,0,4
16,2010-05-01,256.2923875857622,,754.334305885,10,2675.35842080381,213.70729328197388,20,,,0,,13.55,,0,5
17,2010-06-01,279.45624848544685,,960.572487485,10,2643.3019359114082,257.3997635930451,20,,,0,,13.55,,0,6
18,2010-07-01,286.04392855121637,,971.6110623850001,10,2614.5039604493854,267.24595308919356,20,,,0,,13.55,,0,7
19,2010-08-01,282.8582482499115,,913.5781773850001,10,2584.728432158249,263.08271995877504,20,,,0,,13.55,,0,8
20,2010-09-01,276.838050147556,,776.223797085,10,2518.4575982468696,220.56721623617668,20,,,0,,13.55,,0,9
21,2010-10-01,263.92672534688194,,646.768818595,10,2450.5575096203006,204.72323294816164,20,,,0,,13.55,,0,10
22,2010-11-01,237.01995299355232,,464.32360648499997,10,2399.6016700317014,172.27699456318803,20,,,0,,13.55,,0,11
