,Date,totalDemand,residentialDemand,otherDemand,surface,ground,level,deficit,release,restriction,trigger,conserveStatus,fixedCharge,tieredPrices,pedReduction,annualRevenueLost,monthlyVolumeReduced,month
0,2009-01-01,204.69937546486392,159.07437546486392,45.625,218.65,13.73833333,2781.1,0,20,,,0,10.99,,0,,,1
1,2009-02-01,208.51570354477383,155.46570354477382,53.05,155.20999999,13.73833333,2800.0,0.0,355.9991897752261,,,0,10.99,,0,,,2
2,2009-03-01,204.74630838324853,150.24630838324853,54.5,210.93999999,13.73833333,2800.0,0,241.80077709999978,,,0,10.99,,0,,,3
3,2009-04-01,225.28205292988255,166.63205292988255,58.65,255.62999999,13.73833333,2771.0,0,20,,,0,10.99,,0,,,4
4,2009-05-01,206.4065537144758,191.55988758576217,64.7325,270.88000001,13.73833333,2738.0,0,20,,,0.16,16.532223335401298,,0.059203025087162395,6679175.425807394,30.64958201372197,5
5,2009-06-01,225.29013851920817,205.04874848544682,74.4075,287.58000001,13.73833333,2705.0,0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,6
6,2009-07-01,230.54053080711353,210.89392855121633,75.15,297.81999999,13.73833333,2667.0,0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,7
7,2009-08-01,228.3742005405981,201.8282482499115,81.03,285.94000001,13.73833333,2629.0,0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,8
8,2009-09-01,223.2589852289417,201.79555014755599,75.0425,261.78,13.73833333,2596.0,0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,9
9,2009-10-01,212.9101156971718,191.31922534688195,72.6075,211.43,13.73833333,2690.1716565,0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,10
10,2009-11-01,227.21164260272332,165.67245299355233,71.3475,221.27,13.73833333,2671.2716565,0,20,,,0.0,10.99,,0.059203025087162395,0.0,0.0,11
11,2009-12-01,204.98959725908225,153.90365947179717,60.1975,177.21,13.73833333,2679.713462340918,0.0,20,,,0.0,10.99,,0.059203025087162395,,,12
12,2010-01-01,195.28169122349286,159.07437546486392,45.625,169.33026756,12.05666667,2800.0,0.0,107.07085034742477,,,0.0,10.99,,0.059203025087162395,,,1
13,2010-02-01,199.31166359761926,155.46570354477382,53.05,143.4904075,12.05666667,2800.0,0.0,22.179748232380916,,,0.0,10.99,,0.059203025087162395,,,2
14,2010-03-01,195.85127241878155,150.24630838324853,54.5,205.51058001,12.05666667,2797.06669621,0,20,,,0.0,10.99,,0.059203025087162395,,,3
15,2010-04-01,215.41693131994933,166.63205292988255,58.65,193.6405773,12.05666667,2758.3470088600507,0.0,20,,,0.0,10.99,,0.059203025087162395,,,4
16,2010-05-01,244.9514627553283,191.55988758576217,64.7325,245.8005449,12.05666667,2743.9205126100505,0,20,,,0.0,10.99,,0.059203025087162395,,,5
17,2010-06-01,267.31674228477164,205.04874848544682,74.4075,313.0034509,12.05666667,2710.9205126100505,0,20,,,0.0,10.99,,0.059203025087162395,,,6
18,2010-07-01,273.55837000846844,210.89392855121633,75.15,316.60038094000004,12.05666667,2672.9205126100505,0,20,,,0.0,10.99,,0.059203025087162395,,,7
19,2010-08-01,270.909405405474,201.8282482499115,81.03,297.69031063,12.05666667,2634.9205126100505,0,20,,,0.0,10.99,,0.059203025087162395,,,8
20,2010-09-01,264.8911431296925,201.79555014755599,75.0425,252.93325627,12.05666667,2601.9205126100505,0,20,,,0.0,10.99,,0.059203025087162395,,,9
21,2010-10-01,252.60004844901403,191.31922534688195,72.6075,210.75022947,12.05666667,2544.4307640730362,0.0,20,,,0.0,10.99,,0.059203025087162395,,,10
22,2010-11-01,227.21164260272332,165.67245299355233,71.3475,151.30028504,12.05666667,2485.463192020313,0.0,20,,,0.0,10.99,,0.059203025087162395,,,11
23,2010-12-01,204.98959725908225,153.90365947179717,60.1975,136.18032757,12.05666667,2723.2791962012307,0.0,20,,,0.0,10.99,,0.059203025087162395,,,12
24,2011-01-01,195.28169122349286,159.07437546486392,45.625,202.27080079,13.55083333,2738.7890557832307,0,20,,,0.0,10.99,,0.059203025087162395,,,1
25,2011-02-01,199.31166359761926,155.46570354477382,53.05,126.4445006,13.55083333,2734.7038156556114,0,20,,,0.0,10.99,,0.059203025087162395,,,2
26,2011-03-01,195.85127241878155,150.24630838324853,54.5,141.57156046,13.55083333,2752.46453599683,0.0,20,,,0.0,10.99,,0.059203025087162395,,,3
27,2011-04-01,215.41693131994933,166.63205292988255,58.65,214.21484809999998,13.55083333,2751.84615313683,0,20,,,0.0,10.99,,0.059203025087162395,,,4
28,2011-05-01,244.9514627553283,191.55988758576217,64.7325,261.8400366,13.55083333,2718.84615313683,0,20,,,0.0,10.99,,0.059203025087162395,,,5
29,2011-06-01,267.31674228477164,205.04874848544682,74.4075,233.1779232,13.55083333,2665.258167382058,0.0,20,,,0.0,10.99,,0.059203025087162395,,,6
30,2011-07-01,273.55837000846844,210.89392855121633,75.15,307.55321760000004,13.55083333,2627.258167382058,0,20,,,0.0,10.99,,0.059203025087162395,,,7
31,2011-08-01,270.909405405474,201.8282482499115,81.03,295.93317159000003,13.55083333,2589.258167382058,0,20,,,0.0,10.99,,0.059203025087162395,,,8
32,2011-09-01,264.8911431296925,201.79555014755599,75.0425,271.89607645,13.55083333,2556.258167382058,0,20,,,0.0,10.99,,0.059203025087162395,,,9
33,2011-10-01,252.60004844901403,191.31922534688195,72.6075,220.07087124000003,13.55083333,2509.583227275044,0.0,20,,,0.0,10.99,,0.059203025087162395,,,10
34,2011-11-01,227.21164260272332,165.67245299355233,71.3475,195.88477554,13.55083333,2526.2489929223207,0.0,20,,,0.0,10.99,,0.059203025087162395,,,11
35,2011-12-01,204.98959725908225,153.90365947179717,60.1975,216.89085868,13.55083333,2507.3489929223206,0,20,,,0.0,10.99,,0.059203025087162395,,,12
36,2012-01-01,195.28169122349286,159.07437546486392,45.625,209.27082852,13.5575,2634.4502924723206,0,20,,,0.0,10.99,,0.059203025087162395,,,1
37,2012-02-01,199.31166359761926,155.46570354477382,53.05,209.35082880000002,13.5575,2636.8515461223205,0,20,,,0.0,10.99,,0.059203025087162395,,,2
38,2012-03-01,195.85127241878155,150.24630838324853,54.5,148.48058782,13.5575,2743.446887623539,0.0,20,,,0.0,10.99,,0.059203025087162395,,,3
39,2012-04-01,215.41693131994933,166.63205292988255,58.65,165.56065551,13.5575,2734.65066533359,0.0,20,,,0.0,10.99,,0.059203025087162395,,,4
40,2012-05-01,206.4065537144758,191.55988758576217,64.7325,248.60098419999997,13.5575,2701.65066533359,0,20,,,0.16,16.532223335401298,,0.059203025087162395,6679175.425807394,30.64958201372197,5
41,2012-06-01,225.29013851920817,205.04874848544682,74.4075,279.40110618000006,13.5575,2697.91208001359,0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,6
42,2012-07-01,230.54053080711353,210.89392855121633,75.15,311.41123289999996,13.5575,2659.91208001359,0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,7
43,2012-08-01,228.3742005405981,201.8282482499115,81.03,305.84121085000004,13.5575,2621.91208001359,0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,8
44,2012-09-01,223.2589852289417,201.79555014755599,75.0425,281.42111415,13.5575,2588.91208001359,0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,9
45,2012-10-01,212.9101156971718,191.31922534688195,72.6075,241.63095658999998,13.5575,2629.93744767359,0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,10
46,2012-11-01,227.21164260272332,165.67245299355233,71.3475,168.86066851,13.5575,2800.0,0.0,130.17964398086679,,,0.0,10.99,,0.059203025087162395,0.0,0.0,11
47,2012-12-01,204.98959725908225,153.90365947179717,60.1975,117.46046504,13.5575,2789.340560710918,0.0,20,,,0.0,10.99,,0.059203025087162395,,,12
48,2013-01-01,195.28169122349286,159.07437546486392,45.625,200.97650326000002,13.32,2794.618700680918,0,20,,,0.0,10.99,,0.059203025087162395,,,1
49,2013-02-01,199.31166359761926,155.46570354477382,53.05,190.471216467,13.32,2797.2187858009183,0,20,,,0.0,10.99,,0.059203025087162395,,,2
50,2013-03-01,195.85127241878155,150.24630838324853,54.5,232.65315511,13.32,2800.0,0,30.610614260918283,,,0.0,10.99,,0.059203025087162395,,,3
51,2013-04-01,215.41693131994933,166.63205292988255,58.65,236.69693761000002,13.32,2778.853007727,0,20,,,0.0,10.99,,0.059203025087162395,,,4
52,2013-05-01,206.4065537144758,191.55988758576217,64.7325,265.78896558,13.32,2745.853007727,0,20,,,0.16,16.532223335401298,,0.059203025087162395,6679175.425807394,30.64958201372197,5
53,2013-06-01,225.29013851920817,205.04874848544682,74.4075,267.36291618,13.32,2712.853007727,0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,6
54,2013-07-01,230.54053080711353,210.89392855121633,75.15,257.73475232,13.32,2682.836355831,0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,7
55,2013-08-01,228.3742005405981,201.8282482499115,81.03,129.77650943,13.32,2574.836355831,15.277691110598113,20,,,0.16,16.532223335401298,,0.059203025087162395,,,8
56,2013-09-01,223.2589852289417,201.79555014755599,75.0425,158.10740199999998,13.32,2490.0047726020584,0.0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,9
57,2013-10-01,212.9101156971718,191.31922534688195,72.6075,173.59150448999998,13.32,2436.7657564868864,0.0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,10
58,2013-11-01,191.57125478628757,165.67245299355233,71.3475,177.90437833000001,13.32,2417.5188800305987,0.0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,11
59,2013-12-01,172.79323669762906,153.90365947179717,60.1975,218.9007588,13.32,2398.6188800305986,0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,12
60,2014-01-01,164.49287062773402,159.07437546486392,45.625,237.62310502000003,15.66666667,2379.7188800305985,0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,1
61,2014-02-01,167.95229742200016,155.46570354477382,53.05,158.37568978,15.66666667,2407.1190633405986,0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,2
62,2014-03-01,165.0600688317765,150.24630838324853,54.5,195.78701125,15.66666667,2439.2192652505987,0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,3
63,2014-04-01,181.53672230875745,166.63205292988255,58.65,200.79561400000003,15.66666667,2423.2193167205987,0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,4
64,2014-05-01,206.4065537144758,191.55988758576217,64.7325,226.64468498000002,15.66666667,2390.2193167205987,0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,5
65,2014-06-01,225.29013851920817,205.04874848544682,74.4075,212.73095722,15.66666667,2357.2193167205987,0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,6
66,2014-07-01,230.54053080711353,210.89392855121633,75.15,193.92414747,15.66666667,2298.269600053485,0.0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,7
67,2014-08-01,228.3742005405981,201.8282482499115,81.03,161.6702937,15.66666667,2209.232359882887,0.0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,8
68,2014-09-01,223.2589852289417,201.79555014755599,75.0425,149.59986888,15.66666667,2118.2399102039453,0.0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,9
69,2014-10-01,212.9101156971718,191.31922534688195,72.6075,161.04900996,15.66666667,2057.0454869727732,0.0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,10
70,2014-11-01,191.57125478628757,165.67245299355233,71.3475,146.20571750000002,15.66666667,2029.0466979164858,0.0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,11
71,2014-12-01,172.79323669762906,153.90365947179717,60.1975,91.94934249,15.66666667,2246.870665618857,1.4210854715202004e-14,20,,,0.16,16.532223335401298,,0.059203025087162395,,,12
72,2015-01-01,164.49287062773402,159.07437546486392,45.625,189.45951377999998,15.65833333,2252.125996028857,0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,1
73,2015-02-01,167.95229742200016,155.46570354477382,53.05,164.45697093,15.65833333,2398.455233678857,0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,2
74,2015-03-01,165.0600688317765,150.24630838324853,54.5,198.72345609999996,15.65833333,2472.025214293857,0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,3
75,2015-04-01,181.53672230875745,166.63205292988255,58.65,205.57284289,15.65833333,2447.776121043857,0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,4
76,2015-05-01,206.4065537144758,191.55988758576217,64.7325,193.91715472,15.65833333,2415.010733722857,0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,5
77,2015-06-01,225.29013851920817,205.04874848544682,74.4075,204.64090926,15.65833333,2378.0006491326485,0.0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,6
78,2015-07-01,230.54053080711353,210.89392855121633,75.15,163.67167017,15.65833333,2343.080147449535,0.0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,7
79,2015-08-01,228.3742005405981,201.8282482499115,81.03,130.47397610000002,15.65833333,2235.080147449535,11.070131119598102,20,,,0.16,16.532223335401298,,0.059203025087162395,,,8
80,2015-09-01,223.2589852289417,201.79555014755599,75.0425,110.84471529,15.65833333,2132.080147449535,26.755936608941695,20,,,0.16,16.532223335401298,,0.059203025087162395,,,9
81,2015-10-01,212.9101156971718,191.31922534688195,72.6075,118.52502202,15.65833333,2033.0801474495352,8.72676034717179,20,,,0.16,16.532223335401298,,0.059203025087162395,,,10
82,2015-11-01,191.57125478628757,165.67245299355233,71.3475,138.39867104,15.65833333,2002.6427342132476,0.0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,11
83,2015-12-01,172.79323669762906,153.90365947179717,60.1975,111.49315866,15.65833333,2005.4771889956185,0.0,20,,,0.16,16.532223335401298,,0.059203025087162395,,,12
84,2016-01-01,195.28169122349286,159.07437546486392,45.625,112.61408591,12.41666667,2177.7727545421258,1.4210854715202004e-14,20,,,0.0,10.99,,0.059203025087162395,0.0,0.0,1
85,2016-02-01,199.31166359761926,155.46570354477382,53.05,165.95588530999999,12.41666667,2195.8601650675064,0.0,20,,,0.0,10.99,,0.059203025087162395,,,2
86,2016-03-01,195.85127241878155,150.24630838324853,54.5,129.19012338,12.41666667,2641.006372278725,0.0,20,,,0.0,10.99,,0.059203025087162395,,,3
87,2016-04-01,215.41693131994933,166.63205292988255,58.65,186.89832539,12.41666667,2610.903351927776,0.0,20,,,0.0,10.99,,0.059203025087162395,,,4
88,2016-05-01,244.9514627553283,191.55988758576217,64.7325,229.37299579999998,12.41666667,2577.9739929974476,0.0,20,,,0.0,10.99,,0.059203025087162395,,,5
89,2016-06-01,267.31674228477164,205.04874848544682,74.4075,245.61666537999997,12.41666667,2545.501954657676,2.842170943040401e-14,20,,,0.0,10.99,,0.059203025087162395,,,6
90,2016-07-01,273.55837000846844,210.89392855121633,75.15,239.74157281,12.41666667,2550.939644777208,0,20,,,0.0,10.99,,0.059203025087162395,,,7
91,2016-08-01,270.909405405474,201.8282482499115,81.03,156.00113899000002,12.41666667,2442.939644777208,32.49159974547396,20,,,0.0,10.99,,0.059203025087162395,,,8
92,2016-09-01,264.8911431296925,201.79555014755599,75.0425,136.39794624,12.41666667,2339.939644777208,46.0765302196925,20,,,0.0,10.99,,0.059203025087162395,,,9
93,2016-10-01,252.60004844901403,191.31922534688195,72.6075,124.93451009,12.41666667,2243.561535128194,1.4210854715202004e-14,20,,,0.0,10.99,,0.059203025087162395,,,10
94,2016-11-01,227.21164260272332,165.67245299355233,71.3475,154.0427748,12.41666667,2175.4835594954707,0.0,20,,,0.0,10.99,,0.059203025087162395,,,11
95,2016-12-01,204.98959725908225,153.90365947179717,60.1975,100.29692026999999,12.41666667,2086.5835594954706,3.8980171290822625,20,,,0.0,10.99,,0.059203025087162395,,,12
96,2017-01-01,195.28169122349286,159.07437546486392,45.625,111.77013197,14.12583333,2248.1668536719776,0.0,20,,,0.0,10.99,,0.059203025087162395,,,1
97,2017-02-01,199.31166359761926,155.46570354477382,53.05,90.43992924,14.12583333,2176.3048190743584,0.0,20,,,0.0,10.99,,0.059203025087162395,,,2
98,2017-03-01,195.85127241878155,150.24630838324853,54.5,186.77124348,14.12583333,2160.8816486363585,0,20,,,0.0,10.99,,0.059203025087162395,,,3
99,2017-04-01,215.41693131994933,166.63205292988255,58.65,191.13112918,14.12583333,2122.438551901409,0.0,20,,,0.0,10.99,,0.059203025087162395,,,4
100,2017-05-01,244.9514627553283,191.55988758576217,64.7325,230.90775374999998,14.12583333,2091.318711842409,0,20,,,0.0,10.99,,0.059203025087162395,,,5
101,2017-06-01,267.31674228477164,205.04874848544682,74.4075,239.54280376,14.12583333,2044.6706066476372,0.0,20,,,0.0,10.99,,0.059203025087162395,,,6
102,2017-07-01,273.55837000846844,210.89392855121633,75.15,286.08083548,14.12583333,2006.6706066476372,0,20,,,0.0,10.99,,0.059203025087162395,,,7
103,2017-08-01,270.909405405474,201.8282482499115,81.03,273.91030274,14.12583333,1968.6706066476372,0,20,,,0.0,10.99,,0.059203025087162395,,,8
104,2017-09-01,264.8911431296925,201.79555014755599,75.0425,215.09094903,14.12583333,1899.9962458779446,0.0,20,,,0.0,10.99,,0.059203025087162395,,,9
105,2017-10-01,252.60004844901403,191.31922534688195,72.6075,232.69015843000003,14.12583333,1865.2121891889306,0.0,20,,,0.0,10.99,,0.059203025087162395,,,10
106,2017-11-01,227.21164260272332,165.67245299355233,71.3475,129.96890714,14.12583333,1776.3121891889305,13.116902132723311,20,,,0.0,10.99,,0.059203025087162395,,,11
107,2017-12-01,204.98959725908225,153.90365947179717,60.1975,191.03989087000002,14.12583333,1757.4121891889304,0,20,,,0.0,10.99,,0.059203025087162395,,,12
108,2018-01-01,195.28169122349286,159.07437546486392,45.625,165.49969396,14.13333333,1778.8635188654375,0.0,20,,,0.0,10.99,,0.059203025087162395,,,1
109,2018-02-01,199.31166359761926,155.46570354477382,53.05,161.60903373,14.13333333,1736.3942223278182,0.0,20,,,0.0,10.99,,0.059203025087162395,,,2
110,2018-03-01,195.85127241878155,150.24630838324853,54.5,115.67708478,14.13333333,1828.6600065790367,0.0,20,,,0.0,10.99,,0.059203025087162395,,,3
111,2018-04-01,210.49017089374917,166.63205292988255,58.65,178.00585319,14.13333333,1797.2004794352874,0.0,20,,,0.05,12.741966433932308,,0.022285340207964084,2111371.2754256576,8.33160264649418,4
112,2018-05-01,239.42223980467833,191.55988758576217,64.7325,185.66335033000001,14.13333333,1724.5749232906091,0.0,20,,,0.05,12.741966433932308,,0.022285340207964084,,,5
113,2018-06-01,261.14233399791976,205.04874848544682,74.4075,211.39905777,14.13333333,1655.9649803926893,0.0,20,,,0.05,12.741966433932308,,0.022285340207964084,,,6
114,2018-07-01,267.2768813253755,210.89392855121633,75.15,226.65539893,14.13333333,1591.476831327314,0.0,20,,,0.05,12.741966433932308,,0.022285340207964084,,,7
115,2018-08-01,264.44241522038055,201.8282482499115,81.03,189.18254049,14.13333333,1492.3502899269333,0.0,20,,,0.05,12.741966433932308,,0.022285340207964084,,,8
